X,Y,Z,slop(x),slop(x/z),slop(1/z),slop(1/x),slop(z/x),slop(z),Label
0.878603788842231,0.544646635490216,-0.0279972859862646,-0.523274066224324,-0.0103301062562143,-0.0299668034110057,-0.0810446049925177,-0.0321457905350855,-0.00949098824258235,11
-0.146212546529654,0.363059573911198,0.0133877080682216,-0.399976747789256,3.29898936162311,3.31136902629372,-0.0672661446537681,-0.0382798146918555,-0.104983708477248,8
1.08235850228927,0.20615706833847,0.872213309161116,3.09751813128414,-0.224184307330249,-0.295817785377521,-0.494062355146743,0.0105927009631566,-0.808504474809591,15
1.15596251737233,0.273199492718566,-0.012094222437117,0.0476461015176959,-0.267029337643578,-0.275102806109946,0.00397857709781515,-0.20371238857477,-1.89698779452062,6
0.463953325053252,0.69959926857169,0.751613729140978,-0.412816771169092,-0.321916840884333,-0.326432087964019,-0.0686103846868168,-0.0638654085135933,-0.478201106114256,5
-0.786172143233871,0.355674950433686,0.739383675135908,-0.549484949446161,-0.448656044130346,-0.439265371311328,-0.0837330850586152,-0.047234110845504,-0.245068337045254,2
1.15624429060797,0.310288556701123,0.293313827185635,1.22196296733558,-0.256577015323644,-0.254777189166716,2.23239249188436,2.71898287105932,3.24090428955194,15
0.0562977697382348,0.363515927047448,-1.22911205204838,-0.417135647740981,-0.197968671311424,-0.202928896846173,-0.0692825047033412,-0.0112528185578388,0.29032929951847,14
0.605284673754948,0.4994676750014,0.0903916826976149,-0.398573029613152,-0.947759057957336,-0.956294401215293,-0.0669300846455059,-0.0410933463314047,-0.145707440210738,17
0.23505190702237,-1.71098245705058,-0.759019671022943,-0.435921483711687,-0.179019715754537,-0.184880542798151,-0.0712988647529143,-0.0179171954121571,0.196067537873099,16
0.631803354897684,-1.71098245705058,-0.399560191022416,-0.435921483711687,-0.179019715754537,-0.184880542798151,-0.0712988647529143,-0.0179171954121571,0.196067537873099,16
-1.27348619530677,0.69959926857169,2.65143967994525,-0.412817881705624,-0.32191722145671,-0.32643242739088,-0.0686103846868168,-0.0638652609284579,-0.478199179731487,5
1.02704263482051,0.4994676750014,0.0471510923851143,-0.398573029613152,-0.947759057957336,-0.956294401215293,-0.0669300846455059,-0.0410933463314047,-0.145707440210738,17
0.714803856046832,0.368535811546207,0.0280299448770897,-0.413605252106619,2.48773185168732,2.4751537336375,-0.068946444695079,-0.0381445919319575,-0.102959080187187,-1
1.11790659527161,0.455657773921333,-0.252204177135472,2.48050292371969,-0.241624773931853,-0.286751848493748,-0.614035778096343,0.065947606369168,-1.06212047185977,3
-1.7637703724714,0.371149470417462,1.50872997249341,-0.367210367420631,-0.39576229152252,-0.403725855774178,-0.0632334245546219,-0.0504768329939034,-0.278496857233109,0
-0.214275395155347,0.371149470417462,0.717099650283363,-0.367251457272305,-0.395739975643471,-0.403699655840823,-0.0632334245546219,-0.0504787233983325,-0.278527679357411,0
-1.3564828878362,0.363515927047448,-2.9188103564604,-0.417136758277513,-0.197968634534808,-0.202928896846173,-0.0692825047033412,-0.0112528355216474,0.29032929951847,14
0.488554212947246,-2.35066509412776,-0.359065408433364,-0.611029773497979,-0.142599434615626,-0.158983902671389,-0.0897821652073345,-0.0245357833420532,0.118601907589333,10
-0.215110704467168,0.311367209568623,1.02783869680602,-0.448562721052343,-0.352350395687606,-0.354925625256182,-0.0729791647942252,-0.0558310611887062,-0.365987383445972,7
0.149826717508027,0.544646635490216,-0.237035284614247,-0.523274066224324,-0.0103254498286073,-0.0299624293598563,-0.0810446049925177,-0.0321459147949841,-0.0094929146253512,11
-0.432982580763272,-1.71098245705058,-1.36426340312571,-0.435922594248219,-0.179019667721652,-0.184880542798151,-0.0712988647529143,-0.0179172081350136,0.196067537873099,16
0.687528078839802,0.333894459839905,0.315607412207984,-0.60023202679999,-0.366808324954948,-0.360813076789158,-0.0887739851825479,-0.0535769857809628,-0.350855646796655,1
1.10610457706954,0.453915334673832,0.0268563907533031,0.241991105106575,-0.24309054827035,-0.239650743250801,0.052707278295832,0.0768483939685274,0.95550926960239,3
-1.9617933071123,0.4994676750014,0.353580406666197,-0.398573029613152,-0.947720043668203,-0.956255168736002,-0.0669300846455059,-0.0410934794973028,-0.145709366593507,17
-2.20545708109731,0.333894459839905,2.18377510115597,-0.600230916263459,-0.366808263187419,-0.360813076789158,-0.0887739851825479,-0.0535769940508196,-0.350855646796655,1
1.09720425388208,0.455657773921333,-0.159152736150669,1.91816165068527,-0.260953051652894,-0.249539892171517,-0.960177586606394,-0.468483738291504,1.81344887868575,3
-0.243793467515828,0.283322235013582,-0.760301984100587,-0.526833335808511,-0.13687721459922,-0.149054455089499,-0.0813806650007799,-0.0252113555719516,0.0983344344782612,13
-1.89270556871804,-3.28021494602162,1.64556491371531,-0.522417842558362,-0.389528366819656,-0.38623388829683,-0.0807085449842555,-0.051029736742561,-0.30196405212324,4
-0.527152054150696,0.4994676750014,0.20649434735273,-0.398573029613152,-0.947759057957336,-0.956294401215293,-0.0669300846455059,-0.0410933463314047,-0.145707440210738,17
1.06600845639296,0.241586666371023,0.244018148480473,1.24052336439035,-0.257711106337226,-0.269283340238263,2.5919767007249,-3.02908231594469,-3.29289290839858,15
1.096824571811,0.38517195769498,0.182013195427572,1.80266918299519,-0.254114814216033,-0.274406726481177,-1.14164999106797,0.494334134803501,-1.99588250672507,12
-0.464618291549266,0.283322235013582,-0.890277917057423,-0.526833335808511,-0.13687721459922,-0.149054455089499,-0.0813806650007799,-0.0252113555719516,0.0983344344782612,13
0.193489501108149,0.4994676750014,0.132610815994244,-0.398573029613152,-0.947720043668203,-0.956255168736002,-0.0669300846455059,-0.0410934794973028,-0.145709366593507,17
0.797072182887974,0.499550648298898,-0.0896795015563533,-0.366656209691298,-0.0822452284459658,-0.0827084594731896,-0.0632334245546219,-0.0294358237956857,0.0205759940136291,9
0.422077086372646,0.363515927047448,-0.791636719808144,-0.417135647740981,-0.197968387587462,-0.202928614502616,-0.0692825047033412,-0.0112529502394036,0.290327373135701,14
0.590637003741608,0.355674950433686,0.230320387199444,-0.549486059982693,-0.448658918967593,-0.439267932316125,-0.0837330850586152,-0.0472339831928437,-0.245066410662485,2
1.1543201017132,0.379612746762473,0.162594278445597,0.71702421708963,-0.254016760582065,-0.253264807100549,0.293326244211557,0.477741922174694,2.64964347907434,15
-0.843049538533441,0.363515927047448,-2.30473947143714,-0.417135647740981,-0.197968671311424,-0.202928896846173,-0.0692825047033412,-0.0112528185578388,0.29032929951847,14
