X,Y,Z,slop(x),slop(x/z),slop(1/z),slop(1/x),slop(z/x),slop(z),Label
-0.446956916350644,-2.14204326817892,-1.01121636545492,-0.0393040410607288,-0.143945436074209,-0.17042378063443,-0.00902567878511883,0.00177096157989784,0.0378919182231652,1
0.745119776543699,-1.54721402620165,-0.402708486832459,-0.0357138480411973,-0.173881606256423,-0.192048999944712,-0.00723671381887767,0.00263338323324189,0.0506447135272183,1
1.06372621783635,0.381824265245997,-0.157871773476093,-0.0353286876513014,-0.189456970877102,-0.207120438269052,-0.00704155400437864,0.00350177131935429,0.0661625754081505,1
-0.140442030004661,0.388922558295084,0.688521081197045,-0.0343050617557854,-0.352036188820975,-0.374797721978472,-0.00645607456088153,-0.00160923515810724,-0.0274805475364549,0
1.21364087036654,0.504385553381534,-0.210551195733301,0.0197627045823187,-0.233826867697129,-0.264934524787837,-0.0672483567773309,0.0405504412393838,-0.377649479484916,1
1.19618818996122,0.496477129060544,-0.265499037803155,0.031501398716462,-0.262577870389521,-0.226276728411257,-0.0517982047961573,-0.00720337063953341,0.108360998841946,1
0.0125679146446545,-1.54721402620165,-1.06024497968104,-0.0357138708101965,-0.173881566775107,-0.192048999944712,-0.00723671381887767,0.00263338157541592,0.0506447135272183,1
0.0429395851972699,0.386492164479364,-0.020944034588587,-0.0352562822339528,2.01809152324703,2.02923624475168,-0.0070090273686288,-2.30654701784331e-06,0.00141739508138594,1
-1.59545012809096,0.381399910770238,-0.0463553159179262,-0.0349768838451841,2.68576758850938,2.72839289829532,-0.0068463941898796,-1.99438259286152e-05,0.00108377310192995,1
-1.15433468001766,0.374533083798841,0.870575961817996,-0.0380422058959357,-0.395515308913123,-0.404477448622554,-0.00844019934162172,-0.00118668187165214,-0.0219770534000677,1
-1.10429493508298,-3.00641475762329,1.23010735850069,-0.0374872570792572,-0.346913299231706,-0.360191950379124,-0.00814745961987317,-0.00168126299925313,-0.0313435221864107,1
